Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/ValidateProjectRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-CB3","AwsBedrockLangchainCodePipeline/ValidateProject/Resource","Compliant","N/A","Warning","The CodeBuild project has privileged mode enabled."
"AwsSolutions-CB4","AwsBedrockLangchainCodePipeline/ValidateProject/Resource","Compliant","N/A","Error","The CodeBuild project does not use an AWS KMS key for encryption."
"AwsSolutions-CB5","AwsBedrockLangchainCodePipeline/ValidateProject/Resource","Compliant","N/A","Warning","The Codebuild project does not use images provided by the CodeBuild service or have a cdk-nag suppression rule explaining the need for a custom image."
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/DeployProjectRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/DeployProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-CB3","AwsBedrockLangchainCodePipeline/DeployProject/Resource","Compliant","N/A","Warning","The CodeBuild project has privileged mode enabled."
"AwsSolutions-CB4","AwsBedrockLangchainCodePipeline/DeployProject/Resource","Compliant","N/A","Error","The CodeBuild project does not use an AWS KMS key for encryption."
"AwsSolutions-CB5","AwsBedrockLangchainCodePipeline/DeployProject/Resource","Compliant","N/A","Warning","The Codebuild project does not use images provided by the CodeBuild service or have a cdk-nag suppression rule explaining the need for a custom image."
"AwsSolutions-KMS5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/ArtifactsBucketEncryptionKey/Resource","Suppressed","No need for granular rotation, just a single key used for demo purposes","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-S1","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/ArtifactsBucket/Resource","Suppressed","Access logs not required for demo","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/ArtifactsBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/ArtifactsBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/ArtifactsBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/ArtifactsBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Role/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Source/GitHubSource/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Validate/ValidateTemplates/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Validate/ValidateTemplates/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Validate/ValidateTemplates/CodePipelineActionRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Approve/Approve/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Approve/Approve/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Approve/Approve/CodePipelineActionRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-SNS2","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Approve/Approve/TopicResource/Resource","Suppressed","Using high level construct for demo","Error","The SNS Topic does not have server-side encryption enabled."
"AwsSolutions-SNS3","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Approve/Approve/TopicResource/Resource","Suppressed","Using construct for demo","Error","The SNS Topic does not require publishers to use SSL."
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Deploy/DeployStack/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Deploy/DeployStack/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/BedrockLangchainPipeline/Deploy/DeployStack/CodePipelineActionRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
